제조사,모델,세부모델,제조사,모델,,세부모델,,,
,,,,,,,,,
현대,i30,i30(신형),현대,i30,i30(신형),i30(신형),,T,
,,,,,0,,,,
현대,i30,i30,현대,i30,i30,i30,,T,
,,,,,0,,,,
현대,i30,i30 (PD),현대,i30,i30 (PD),i30 (PD),,T,
,,,,,0,,,,
현대,i30,더 뉴 i30,현대,i30,더 뉴 i30,더 뉴 i30,,T,
,,,,,0,,,,
현대,i30,i30 cw,현대,i30,i30 cw,i30 cw,,T,
,,,,,0,,,,
현대,i40,i40 살룬,현대,i40,i40 살룬,i40 살룬,,T,
,,,,,0,,,,
현대,i40,i40,현대,i40,i40,i40,,T,
,,,,,0,,,,
현대,i40,더 뉴 i40 살룬,현대,i40,더 뉴 i40 살룬,더 뉴 i40 살룬,,T,
,,,,,0,,,,
현대,i40,더 뉴 i40,현대,i40,더 뉴 i40,더 뉴 i40,,T,
,,,,,0,,,,
현대,갤로퍼,갤로퍼 2,현대,갤로퍼,갤로퍼 2,갤로퍼 2,,T,
,,,,,0,,,,
현대,갤로퍼,갤로퍼,현대,갤로퍼,갤로퍼,갤로퍼,,T,
,,,,,0,,,,
현대,그라나다,그라나다,현대,그라나다,그라나다,그라나다,,T,
,,,,,0,,,,
현대,그랜저,그랜저 HG,현대,그랜저,그랜저 HG,그랜저 HG,,T,
,,,,,0,,,,
현대,그랜저,그랜저 IG,현대,그랜저,그랜저 IG,그랜저 IG,,T,
,,,,,0,,,,
현대,그랜저,더 뉴 그랜저 IG,현대,그랜저,더 뉴 그랜저,더 뉴 그랜저,,F,
,,,,,0,,,,
현대,그랜저,그랜저 TG,현대,그랜저,그랜저 TG,그랜저 TG,,T,
,,,,,0,,,,
현대,그랜저,그랜저 뉴 럭셔리,현대,그랜저,그랜저 뉴 럭셔리,그랜저 뉴 럭셔리,,T,
,,,,,0,,,,
현대,그랜저,더 뉴 그랜저 IG 하이브리드,현대,그랜저,더 뉴 그랜저 하이브리드,더 뉴 그랜저 하이브리드,,F,
,,,,,0,,,,
현대,그랜저,그랜저 IG 하이브리드,현대,그랜저,그랜저 IG 하이브리드,그랜저 IG 하이브리드,,T,
,,,,,0,,,,
현대,그랜저,더 럭셔리 그랜저,현대,그랜저,더 럭셔리 그랜저,더 럭셔리 그랜저,,T,
,,,,,0,,,,
현대,그랜저,그랜저 HG 하이브리드,현대,그랜저,그랜저 HG 하이브리드,그랜저 HG 하이브리드,,T,
,,,,,0,,,,
현대,그랜저,그랜저,현대,그랜저,그랜저,그랜저,,T,
,,,,,0,,,,
현대,그랜저,뉴 그랜저 XG,현대,그랜저,뉴 그랜저 XG,뉴 그랜저 XG,,T,
,,,,,0,,,,
현대,그랜저,뉴 그랜저,현대,그랜저,뉴 그랜저,뉴 그랜저,,T,
,,,,,0,,,,
현대,그랜저,그랜저 XG,현대,그랜저,그랜저 XG,그랜저 XG,,T,
,,,,,0,,,,
현대,그레이스,뉴그레이스,현대,그레이스,뉴그레이스,뉴그레이스,,T,
,,,,,0,,,,
현대,그레이스,그레이스,현대,그레이스,그레이스,그레이스,,T,
,,,,,0,,,,
현대,넥쏘,넥쏘,현대,넥쏘,넥쏘,넥쏘,,T,
,,,,,0,,,,
현대,다이너스티,다이너스티,현대,다이너스티,다이너스티,다이너스티,,T,
,,,,,0,,,,
현대,라비타,라비타,현대,라비타,라비타,라비타,,T,
,,,,,0,,,,
현대,마르샤,마르샤,현대,마르샤,마르샤,마르샤,,T,
,,,,,0,,,,
현대,맥스크루즈,더 뉴 맥스크루즈,현대,맥스크루즈,더 뉴 맥스크루즈,더 뉴 맥스크루즈,,T,
,,,,,0,,,,
현대,맥스크루즈,맥스크루즈,현대,맥스크루즈,맥스크루즈,맥스크루즈,,T,
,,,,,0,,,,
현대,베뉴,베뉴,현대,베뉴,베뉴,베뉴,,T,
,,,,,0,,,,
현대,베라크루즈,베라크루즈,현대,베라크루즈,베라크루즈,베라크루즈,,T,
,,,,,0,,,,
현대,베르나,베르나(신형),현대,베르나,베르나(신형),베르나(신형),,T,
,,,,,0,,,,
현대,베르나,베르나 트랜스폼,현대,베르나,베르나 트랜스폼,베르나 트랜스폼,,T,
,,,,,0,,,,
현대,베르나,New 베르나,현대,베르나,뉴 베르나,뉴 베르나,,F,
,,,,,0,,,,
현대,베르나,베르나,현대,베르나,베르나,베르나,,T,
,,,,,0,,,,
현대,벨로스터,벨로스터 (JS),현대,벨로스터,벨로스터 (JS),벨로스터 (JS),,T,
